"","h","K","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"355",0.25,0.4,0.000962972137725923,1456.58799035483,2.38673394560864e-07,0.402938590113872
"356",0.25,0.5,0.0049130268005312,2612.18608820015,7.09894492039997e-07,0.429037395137382
"357",0.25,0.6,0.023165639,3811.762798,2.28860955274448e-06,0.437062020765282
"358",0.25,0.7,0.103387171466382,5077.47546311738,7.69054655269199e-06,0.441356154619484
"359",0.25,0.8,0.44092962402514,6426.23745023528,2.61903225956836e-05,0.447866979017013
"360",0.25,0.9,1.8206692653101,7874.64705009401,8.94900912024933e-05,0.456985167170049
"361",0.25,1,7.44043325073829,9445.47609470737,0.000311079121336734,0.46817538152232
"362",0.02,0.2,5.10818745038088e-12,4.08654996032287e-12,1,1
"363",0.02,1.1,10525.5754977277,8409.10712494359,0.383079261739601,0.363561189516806
"364",0.02,1.2,11442.0500346192,9139.4984652301,0.369157886916177,0.350505839581318
"365",0.02,1.3,12351.9725913494,9864.81926373503,0.356406221469202,0.340051001962534
"366",0.02,1.4,13257.1536108926,10586.4731209984,0.346876215593714,0.330762562506908
"367",0.02,1.5,14158.9499379695,11305.5157948222,0.33821150684403,0.323460515799827
"368",0.02,1.6,15058.3953735054,12022.7538032658,0.331455929469501,0.316906630958573
"369",0.02,1.7,15956.2860189552,12738.8093802907,0.325074658502891,0.311562861891681
"370",0.02,1.8,16853.2385717315,13454.1651288196,0.320126337553259,0.306689618116333
"371",0.02,1.9,17749.7316229823,14169.1958240105,0.31537059254534,0.302786076261888
"372",0.02,2,18646.1358205382,14884.1917474324,0.311370422614852,0.298974928033668
"373",0.02,0.3,1582.10309209522,1401.20293863035,1,1
"374",0.02,0.4,3343.31845362605,2725.8846995099,0.828644083420012,0.754066451808331
"375",0.02,0.5,4605.10312108109,3707.0230546712,0.665401894526243,0.608858427917824
"376",0.02,0.6,5701.409608,4572.132687,0.563260978597566,0.524247089151432
"377",0.02,0.7,6724.39362003443,5383.5236664044,0.500199990385805,0.467959189752229
"378",0.02,0.8,7706.26965472857,6164.04901616513,0.457736739083698,0.42959414941656
"379",0.02,0.9,8662.04350076758,6924.7019975181,0.425759404881055,0.401857515620437
