"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"101",0.13,1.2,23976.2751699261,21528.3429566193,0.92826348960939,0.990751510251205
"102",0.13,1.3,25720.1842046432,22302.2484339703,0.964775761935811,0.999417449038268
"103",0.14,0.5,53.190521619773,5560.33480451267,0.0038428101310712,0.456627414753512
"104",0.14,1.4,26022.8383416626,22762.337507569,0.953250262240661,0.99565743900144
"105",0.14,1.5,27209.2387262073,23301.1763777243,0.974911028358635,1
"106",0.14,1.6,28072.9650142395,23711.1514653772,0.988679123474866,1
"107",0.14,1.7,28722.6291438981,24030.0436115404,0.994773974569158,0.999126149888148
"108",0.14,1.8,29224.9619,24282.81136,0.999227772179232,0.996354283331781
"109",0.14,1.9,29622.1785826555,24486.3813418823,1,0.994188893911302
"110",0.14,2,29942.0472631121,24652.5568786298,1,0.990379127560716
"111",0.14,-1,31844.2527344042,25669.4794006251,0.960152824573659,0.935805444939848
"112",0.14,0.6,297.25221678627,7338.16991316002,0.017619913611154,0.50484285737921
"113",0.14,0.7,1289.87564847946,9503.54536899902,0.0671639818246549,0.578262522162258
"114",0.14,0.8,3871.54383571837,12178.7442139287,0.183969461747961,0.679023446805686
"115",0.14,0.9,8150.01544453086,15085.6258531261,0.360532841080125,0.787910427940513
"116",0.14,1,13491.7470537611,17685.9983951264,0.564080165407709,0.876625906753509
"117",0.14,1.1,18412.5317612835,19638.5482574796,0.737138314473295,0.933963052755427
"118",0.14,1.2,21915.2072598482,21036.5744293823,0.848467354597951,0.968119930475844
"119",0.14,1.3,24340.0640154007,22036.6229436583,0.913006828379766,0.987514131275796
"120",0.15,0.5,22.7949505249702,5455.62976619469,0.00164684729811071,0.448028797468811
"121",0.15,1.4,24519.8557354547,22435.151690867,0.898194063347205,0.981345859963181
"122",0.15,1.5,26162.9025228217,23123.0139351257,0.937420648186072,0.992353929273334
"123",0.15,1.6,27351.0080161644,23645.6425044675,0.96325310197406,0.997237208787378
"124",0.15,1.7,28232.6895625255,24051.0606335652,0.97780550200284,1
"125",0.15,1.8,28905.77986,24371.66354,0.988314650723672,1
"126",0.15,1.9,29432.6322782625,24629.4822084843,0.993601203103138,0.999999033445535
"127",0.15,2,29853.6674873349,24839.8094024912,0.997048305514964,0.997901714046508
"128",0.15,-1,32337.4082598117,26144.5404002041,0.975022216379564,0.953124248455348
"129",0.15,0.6,125.710212005978,7028.10437860305,0.00745159480905675,0.483511330269183
"130",0.15,0.7,589.450955449567,8805.21171017257,0.0306927829089647,0.53577099219271
"131",0.15,0.8,2059.8859585186,11027.9455826651,0.097882428078083,0.614860899382596
"132",0.15,0.9,5068.26958141934,13622.4566631992,0.224205419484855,0.711490246649474
"133",0.15,1,9420.34436982257,16280.3600792044,0.3938577701726,0.806953902056158
"134",0.15,1.1,14518.441277287,18549.1056873122,0.581239965837964,0.88215173272836
"135",0.15,1.2,18994.83952146,20257.8955801031,0.735402638391356,0.932284508888655
"136",0.15,1.3,22221.6518365804,21512.2360754315,0.833544227814623,0.964015093153965
"137",0.16,0.5,9.9807663686878,5387.93604238091,0.000721071893064317,0.442469634003504
"138",0.16,1.4,22329.4831513682,21876.3720872182,0.817957879546978,0.956904034999018
"139",0.16,1.5,24533.9447091405,22738.1800361956,0.879054849963311,0.975838286771353
"140",0.16,1.6,26152.6712917644,23395.5620308927,0.921049846931118,0.986690252687841
"141",0.16,1.7,27350.3465347999,23905.1051653352,0.947246604478988,0.993931433193166
"142",0.16,1.8,28254.44827,24307.06537,0.966045036964974,0.997349455859097
"143",0.16,1.9,28953.6229716452,24629.5060142433,0.977430572530484,1
"144",0.16,2,29506.604920547,24892.0400204198,0.9854571620057,1
"145",0.16,-1,32704.8991532059,26530.2286968489,0.986102627725386,0.967184884528902
"146",0.16,0.6,52.6742837215712,6827.5975927204,0.00312231928406721,0.469717098204948
"147",0.16,0.7,257.097404093104,8329.65485909851,0.01338709308609,0.506834769608802
"148",0.16,0.8,1001.79502699036,10149.5339159401,0.0476036691608332,0.565885232665517
"149",0.16,0.9,2887.82200848218,12363.6588126732,0.127748797574423,0.645744220415302
"150",0.16,1,6113.438161308,14818.6142628885,0.255598418462721,0.734500867568482
"151",0.16,1.1,10392.0532847585,17218.0793014337,0.416041679740709,0.818851256015188
