"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"256",0.22,1.3,1415.70857653678,12014.2556977761,0.0582382043264916,0.58474208503109
"257",0.23,0.5,0.00763600595516997,3050.94940493454,8.36405570071854e-07,0.373821627610892
"258",0.23,1.4,1633.65785293544,12595.7373591373,0.0651031432603353,0.593874032951158
"259",0.23,1.5,2998.41007177137,13963.8155652859,0.116000866675129,0.641820568236684
"260",0.23,1.6,4802.96710113422,15385.5056597102,0.181516829580126,0.691182872340017
"261",0.23,1.7,6984.65345350533,16806.8106493412,0.258378890020942,0.740754022146809
"262",0.23,1.8,9470.48354041276,18145.2660879009,0.344365814501372,0.786414515696991
"263",0.23,1.9,12211.860531352,19331.4652781056,0.436709132495501,0.825838872183222
"264",0.23,2,15008.5102905618,20340.2864476506,0.529713627967071,0.857604640314666
"265",0.23,0.6,0.0461176375642945,4535.07400720405,3.67313192545401e-06,0.411079272910197
"266",0.23,0.7,0.254358461245823,5664.96280332894,1.66246900972794e-05,0.425027112269128
"267",0.23,0.8,1.27676520472108,6605.63746499191,7.27778943878499e-05,0.435758292755325
"268",0.23,0.9,5.9948627767711,7458.34044908805,0.00030907949143992,0.447827044435353
"269",0.23,1,26.1977675388057,8295.05476858682,0.00125172872924852,0.463570827608711
"270",0.23,1.1,97.3598866579786,9181.34002943804,0.00438721361810625,0.485088771896986
"271",0.23,1.2,295.670143916716,10177.5379818129,0.0126726537187628,0.514310291178489
"272",0.23,1.3,755.076552986302,11319.6388675945,0.0310616911585947,0.550934606332825
"273",0.24,0.5,0.00347198832878074,3039.25899107306,3.80302267240969e-07,0.372389244127222
"274",0.24,1.4,899.619327265968,11873.1748177879,0.0358508642660547,0.559806068666454
"275",0.24,1.5,1806.81823080994,13082.4096662401,0.069901206199776,0.601308400747227
"276",0.24,1.6,3136.31176722849,14361.8304221639,0.118529516562318,0.645194992144214
"277",0.24,1.7,4839.93247685524,15680.8619515724,0.179040576525464,0.691128245787159
"278",0.24,1.8,6865.83736773004,16993.3300195866,0.249655645066383,0.736489690076421
