"","t","mean","sd","q_025","q_975","surv_mean","surv_sd","surv_q_025","surv_q_975"
"111",111,36226664.9389599,5061649.59033214,29892622.9853795,39938432.689579,36226664.9389599,5061649.59033214,29892622.9853795,39938432.689579
"112",112,34525407.3533256,3447238.8980656,31761716.2015997,38596621.9432399,34525407.3533256,3447238.8980656,31761716.2015997,38596621.9432399
"113",113,38650128.7585305,2193689.28341499,35200089.7595587,39864943.4925851,38650128.7585305,2193689.28341499,35200089.7595587,39864943.4925851
"114",114,34166033.0114622,8918641.1940396,20338234.8091638,39977583.9042656,34166033.0114622,8918641.1940396,20338234.8091638,39977583.9042656
"115",115,32580839.1483318,5086447.8949947,26793053.33737,39146774.1229682,32580839.1483318,5086447.8949947,26793053.33737,39146774.1229682
"116",116,32521298.8067549,7372836.87596366,21459083.9362442,39038031.8983257,32521298.8067549,7372836.87596366,21459083.9362442,39038031.8983257
"117",117,31263530.8576699,10062150.0736476,15574534.4232587,38158458.5687677,31263530.8576699,10062150.0736476,15574534.4232587,38158458.5687677
"118",118,26723989.5066719,12259977.9426719,8156642.93499565,37213688.1955563,26723989.5066719,12259977.9426719,8156642.93499565,37213688.1955563
"119",119,27395585.8714268,14353545.6188726,6252104.81061569,39058287.2590872,27395585.8714268,14353545.6188726,6252104.81061569,39058287.2590872
"120",120,32085696.3336971,10821131.5354759,15654912.0450527,39416582.3785726,32085696.3336971,10821131.5354759,15654912.0450527,39416582.3785726
"121",121,29502318.6039979,5921833.36070403,23320635.9318317,35997029.4232911,29502318.6039979,5921833.36070403,23320635.9318317,35997029.4232911
"122",122,27899868.0995217,8297788.64177079,17555012.8267192,38593059.6374754,27899868.0995217,8297788.64177079,17555012.8267192,38593059.6374754
"123",123,33446201.8191782,6699901.80839465,25171571.6495935,38966656.909129,33446201.8191782,6699901.80839465,25171571.6495935,38966656.909129
"124",124,28361565.0755444,7903448.67364811,17118078.7209794,35811121.8350698,28361565.0755444,7903448.67364811,17118078.7209794,35811121.8350698
"125",125,32495834.4841311,7228443.13165085,22915230.2977923,39095312.9160015,32495834.4841311,7228443.13165085,22915230.2977923,39095312.9160015
"126",126,32656787.80658,7818353.01739557,21126196.392795,39280582.5413212,32656787.80658,7818353.01739557,21126196.392795,39280582.5413212
"127",127,38340209.0352406,1272292.52122807,37050450.0658451,39828281.7235477,38340209.0352406,1272292.52122807,37050450.0658451,39828281.7235477
"128",128,31862757.1900515,7063044.70695591,22360366.5632996,39090723.7549114,31862757.1900515,7063044.70695591,22360366.5632996,39090723.7549114
"129",129,26163084.8762468,9805487.69623917,12369948.3919874,35041911.5490307,26163084.8762468,9805487.69623917,12369948.3919874,35041911.5490307
"130",130,35925078.5343416,3802936.51392293,30262645.9450403,39583969.827667,35925078.5343416,3802936.51392293,30262645.9450403,39583969.827667
"131",131,29786583.1198637,7365770.30834981,21526117.0676028,38554363.5252884,29786583.1198637,7365770.30834981,21526117.0676028,38554363.5252884
"132",132,34709227.3142214,3647086.66467771,30928858.4295266,38231829.7810642,34709227.3142214,3647086.66467771,30928858.4295266,38231829.7810642
"133",133,34421834.2076363,5069126.35951626,27079566.3793363,38537261.1831076,34421834.2076363,5069126.35951626,27079566.3793363,38537261.1831076
"134",134,35714974.8105939,5278426.37753681,27777912.1468095,39233038.1741383,35714974.8105939,5278426.37753681,27777912.1468095,39233038.1741383
"135",135,35136653.9256998,4190145.52635075,30363114.5757336,39713279.4685644,35136653.9256998,4190145.52635075,30363114.5757336,39713279.4685644
"136",136,35928628.3541419,5161257.88355819,28340487.533817,39678222.9570816,35928628.3541419,5161257.88355819,28340487.533817,39678222.9570816
"137",137,33735747.2115108,5058900.92399282,28023665.1145128,39811926.3944487,33735747.2115108,5058900.92399282,28023665.1145128,39811926.3944487
"138",138,30878490.1429367,8413312.49843976,18422392.8432611,38980079.898973,30878490.1429367,8413312.49843976,18422392.8432611,38980079.898973
"139",139,33855550.9302395,2849821.18059127,29573516.9515176,36481166.3916687,33855550.9302395,2849821.18059127,29573516.9515176,36481166.3916687
